"energy","protein","carbohydrate","sugars","total_lipid_fat","fatty_acids_total_saturated","cholesterol","sodium","fiber_total_dietary","water","vitamin_a","vitamin_b","vitamin_b1","vitamin_b2","vitamin_b3","vitamin_b4","vitamin_b5","vitamin_b6","vitamin_b7","vitamin_b9_folic_acid","vitamin_b12","vitamin_c","vitamin_d","vitamin_e","vitamin_k","calcium","iron","magnesium","phosphorus","zinc","potassium","polyunsaturated","omega3","omega6","monounsaturated","omega9","lycopene","itemName","_isExt"
"178","8.22","23","3.61","6.87","0.88","-1000","0.75069","6.37","58.85","0.00000151","0.0018","0.00023","0.00006","0.00092","-1000","0.00029","0.00016","-1000","0.00013184","-1000","0.00425","-1000","0.00029","0.00000294","0.06198","0.00323","0.06859","0.19657","0.00206","0.28071","2.97","0.07","2.9","2.35","2.32","-1000","ממרח חומוס מתכון","0"
"53","0.81","13.34","10.58","0.31","0.039","0","0.002","1.8","85.15","0.000034","0.00078","0.000058","0.000036","0.000376","-1000","0.000216","0.000078","-1000","0.000016","-1000","0.0267","-1000","0.0002","-1000","0.037","0.00015","0.012","0.02","0.00007","0.166","0.065","0.018","0.048","0.06","0.053","-1000","מנדרינה","0"
"77","4.27","13","1.65","1.14","0.11","-1000","0.24292","2.88","75.01","0.00002218","0.00081","0.00009","0.00004","0.00033","-1000","0.00017","0.00012","-1000","0.00006397","-1000","0.00833","-1000","0.00036","0.00000222","0.06836","0.00204","0.03433","0.08984","0.00065","0.36306","0.13","0.03","0.1","0.04","0.04","0.00079","מתכון שעועית לבנה ברוטב עגבניות","0"
"206","22.1","0","-1000","12.35","2.504","0.063","0.061","0","64.75","-1000","0.010679","0.00034","0.000135","0.008045","-1000","0.001475","0.000647","-1000","0.000034","0.0000028","0.0037","-1000","-1000","-1000","0.015","0.00034","0.03","0.252","0.00043","0.384","4.426","0.113","0.666","4.432","2.046","-1000","סלמון אטלנטי מבושל","0"
"44","1.68","9.96","7.96","0.18","0.028","0","0.077","2","87.05","0.000002","0.00069","0.000027","0.00004","0.000331","-1000","0.000145","0.000067","-1000","0.00008","-1000","0.0036","-1000","0.00004","0.0000002","0.016","0.00079","0.023","0.038","0.00035","0.305","0.064","0.005","0.058","0.035","0.035","-1000","סלק מבושל","0"
"18","0.88","3.92","2.63","0.2","0.028","0","0.005","1.2","94.5","0.000042","0.000834","0.000037","0.000019","0.000594","-1000","0.000089","0.00008","-1000","0.000015","-1000","0.0127","-1000","0.00054","0.0000079","0.01","0.00027","0.011","0.024","0.00017","0.237","0.083","0.003","0.08","0.031","0.03","0.002573","עגבניות שרי","0"
"116","9.02","20.13","1.8","0.38","0.053","0","0.002","7.9","69.64","-1000","0.002299","0.000169","0.000073","0.00106","-1000","0.000638","0.000178","-1000","0.000181","-1000","0.0015","-1000","0.00011","0.0000017","0.019","0.00333","0.036","0.18","0.00127","0.369","0.175","0.037","0.137","0.064","0.061","-1000","עדשים מבושלות","0"
"310","6.23","45","6.68","11.83","5.49","0.05638","0.08541","-1000","25.49","0.00001615","0.00024","0","0.00005","0.00001","-1000","0.00015","0.00002","-1000","0.00000475","0.00000009","-1000","0.00000021","0.00011","0.00000003","0.00629","0.00018","0.00139","0.01999","0.00013","0.01408","0.19","0","0.16","0.37","0.34","-1000","עוגת שמרים בשוקולד מתכון","0"
"69","0.72","18.1","15.48","0.16","0.054","0","0.002","0.9","80.55","0.000003","0.000465","0.000069","0.00007","0.000188","-1000","0.00005","0.000086","-1000","0.000002","-1000","0.0108","-1000","0.00019","0.0000146","0.01","0.00036","0.007","0.02","0.00007","0.191","0.048","0.011","0.037","0.007","0.007","-1000","ענבים","0"
"124","3.93","15","4.9","5.98","0.83","-1000","1.194","3.97","71.62","0.00002369","0.00193","0.00017","0.0001","0.00124","-1000","0.00014","0.00024","-1000","0.00003708","-1000","0.01315","-1000","0.00095","0.00001973","0.04047","0.00123","0.02809","0.09198","0.00085","0.24453","0.7","0.06","0.63","4.21","4.12","-1000","פאבה (ממרח אפונה צהובה)  מתכון","0"
"141","12.4","11","-1000","6.4","0.74","0","0.014","4.2","68.6","0.000008","0.001964","0.00026","0.000155","0.00125","-1000","0.000128","0.00006","-1000","0.000111","0","0.017","0","-1000","-1000","0.145","0.0025","0.06","0.158","0.00091","0.539","3.01","0.354","2.66","1.21","1.19","-1000","פולי סויה מורתחים","1"
"36","2.97","6.33","0.85","0.79","0.132","0","0.056","3.3","87.7","0.000421","0.002139","0.000086","0.000098","0.001313","-1000","0.0004","0.00009","-1000","0.000152","-1000","0.133","-1000","0.00075","0.00164","0.138","0.0062","0.05","0.058","0.00107","0.554","0.124","0.008","0.115","0.295","0.287","-1000","פטרוזיליה","0"
"31","0.99","6.03","4.2","0.3","0.027","0","0.004","2.1","92.2","0.000157","0.001772","0.000054","0.000085","0.000979","-1000","0.000317","0.000291","-1000","0.000046","-1000","0.1277","-1000","0.00158","0.0000049","0.007","0.00043","0.012","0.026","0.00025","0.211","0.07","0.025","0.045","0.003","0.002","-1000","פלפל אדום","1"
"27","1","6.32","-1000","0.21","0.031","0","0.002","0.9","92","0.00001","0.001305","0.000028","0.000025","0.00089","-1000","0.000168","0.000168","-1000","0.000026","-1000","0.1835","-1000","-1000","-1000","0.011","0.00046","0.012","0.024","0.00017","0.212","-1000","-1000","-1000","-1000","-1000","-1000","פלפל צהוב","0"
"16","0.68","3.4","1.86","0.1","0.032","0","0.039","1.6","95.25","-1000","0.000566","0.000012","0.000039","0.000254","-1000","0.000165","0.000071","-1000","0.000025","-1000","0.0148","-1000","-1000","0.0000013","0.025","0.00034","0.01","0.02","0.00028","0.233","0.048","0.031","0.017","0.017","0.017","-1000","צנון - צנונית","0"
"120","4.4","21.3","-1000","1.92","-1000","0","0.007","2.8","71.6","-1000","0.000794","0.000107","0.00011","0.000412","-1000","-1000","0.000123","-1000","0.000042","-1000","-1000","-1000","0.00063","-1000","0.017","0.0015","0.064","0.152","0.0011","0.172","-1000","-1000","-1000","-1000","-1000","-1000","קינואה מבושלת","0"
"47","0.85","12.02","9.18","0.15","-1000","-1000","0.001","1.7","86.6","-1000","0.001002","0.000086","0.00003","0.000636","-1000","0.000151","0.000075","-1000","0.000024","-1000","0.0488","-1000","0.0002","-1000","0.03","0.00014","0.01","0.021","0.00006","0.177","-1000","-1000","-1000","-1000","-1000","-1000","קלמנטינה","0"
"345","3.8","35.7","30","20.8","15.5","0.008","0.045","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","קרמיסימו - גלידונית","1"
